dataset,N_train,seeds,c_eps,regime,method,Gamma,mean_EY,sd_EY
"X3(-1,0,1)",200,8,1.5,cap,Hajek-O-X,1.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.5,cap,Hajek-O-X,1.5,0.1022,0.0941
"X3(-1,0,1)",200,8,1.5,cap,Hajek-O-X,2.0,0.0046,0.0096
"X3(-1,0,1)",200,8,1.5,cap,Hajek-O-X,2.5,-0.0073,0.0158
"X3(-1,0,1)",200,8,1.5,cap,Hajek-O-X,3.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,Hajek-O-X,4.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,Hajek-O-X,5.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,Hajek-O-X,6.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,Hajek-O-X,8.0,0.0,0.0
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-W,1.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-W,1.5,0.4146,0.0983
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-W,2.0,0.4309,0.1357
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-W,2.5,0.4311,0.1359
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-W,3.0,0.4322,0.1386
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-W,4.0,0.4339,0.1428
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-W,5.0,0.4402,0.158
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-W,6.0,0.4407,0.1593
"X3(-1,0,1)",200,8,1.5,cap,IPW-O-W,8.0,0.4407,0.1593
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-W,1.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-W,1.5,0.3778,0.0605
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-W,2.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-W,2.5,0.3778,0.0605
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-W,3.0,0.3778,0.0605
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-W,4.0,0.3781,0.0604
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-W,5.0,0.4407,0.1593
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-W,6.0,0.4407,0.1593
"X3(-1,0,1)",200,8,1.5,cap,DoublyRobust-O-W,8.0,0.4407,0.1593
"X3(-1,0,1)",200,8,2.0,uncap,IPW-X-X,1.0,0.8333,0.0
"X3(-1,0,1)",200,8,2.0,uncap,IPW-X-X,1.5,0.8333,0.0
"X3(-1,0,1)",200,8,2.0,uncap,IPW-X-X,2.0,0.8333,0.0
"X3(-1,0,1)",200,8,2.0,uncap,IPW-X-X,2.5,0.8333,0.0
"X3(-1,0,1)",200,8,2.0,uncap,IPW-X-X,3.0,0.8333,0.0
"X3(-1,0,1)",200,8,2.0,uncap,IPW-X-X,4.0,0.8333,0.0
"X3(-1,0,1)",200,8,2.0,uncap,IPW-X-X,5.0,0.8333,0.0
"X3(-1,0,1)",200,8,2.0,uncap,IPW-X-X,6.0,0.8333,0.0
